م,العملاء,,رصيد العملاء,,م,الموردين,,رصيد الموردين,,,,,,7726759.37,0
9,مورد,شركة مكة,شراء,قشرة صويا,5.95,9100,صب(فاضل 14.05 طن ),تحصيل,54145,46181,,الإثنين,,,
24,مورد,شركة مكة,تحويل بنكي,,1,800000,,سداد,800000,46181,,الإثنين,,,
5,مورد,شركة مكة,تحويل بنكي,,1,700000,,سداد,700000,46182,,الثلاثاء,,,
6,مورد,شركة مكة,شراء,صويا صب,65.86,22500,صب(فاضل 33.22 طن ),تحصيل,1481850,46183,,الأربعاء,,,
9,مورد,شركة مكة,شراء,قشرة صويا,6.2,9100,صب(فاضل 7.85 طن ),تحصيل,56420,46183,,الأربعاء,,,
13,مورد,شركة مكة,شراء,صويا معبأ,9.54,22750,معبأ(فاضل 23.68 طن ),تحصيل,217035,46183,,الأربعاء,,,
7,مورد,شركة مكة,شراء,صويا معبأ,9.44,22750,معبأ(فاضل 14.24 طن ),تحصيل,214760,46184,,الخميس,,,
10,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46184,,الخميس,,,
11,مورد,شركة مكة,تحويل بنكي,,1,1100000,,سداد,1100000,46184,,الخميس,,,
5,مورد,شركة مكة,شراء,قشرة صويا,5.91,9100,صب(فاضل 1.94 طن),تحصيل,53781,46186,,السبت,,,
5,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46187,,الأحد,,,
6,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46187,,الأحد,,,
5,مورد,شركة مكة,شراء,صويا صب,14.24,22500,صب(فاضل 0 طن ),تحصيل,320400,46188,,الإثنين,,,
6,مورد,شركة مكة,شراء,صويا صب,45.32,22000,صب(فاضل 24.68 طن ),تحصيل,997040,46188,,الإثنين,,,
12,مورد,شركة مكة,تحويل بنكي,,1,340000,,سداد,340000,46188,,الإثنين,,,
14,مورد,شركة مكة,تحويل بنكي,,1,200000,,سداد,200000,46188,,الإثنين,,,
12,مورد,شركة مكة,تحويل بنكي,,1,205000,,سداد,205000,46189,,الثلاثاء,,,
14,مورد,شركة مكة,تحويل بنكي,,1,50000,,سداد,50000,46189,,الثلاثاء,,,
15,مورد,شركة مكة,تحويل بنكي,,1,240000,,سداد,240000,46189,,الثلاثاء,,,
14,مورد,شركة مكة,تحويل بنكي,,1,320000,,سداد,320000,46190,,الأربعاء,,,
15,مورد,شركة مكة,شراء,صويا صب,10.44,22000,صب(فاضل 14.24 طن ),تحصيل,229680,46190,,الأربعاء,,,
17,مورد,شركة مكة,شراء,صويا صب,10.24,22000,صب(فاضل 4.00 طن ),تحصيل,225280,46190,,الأربعاء,,,
25,مورد,شركة مكة,تحويل بنكي,,1,650000,,سداد,650000,46190,,الأربعاء,,,
5,مورد,شركة مكة,شراء,صويا صب,4,22000,صب(فاضل 0 طن ),تحصيل,88000,46193,,السبت,,,
6,مورد,شركة مكة,شراء,صويا صب,63.15,21150,صب(فاضل 11.85 طن ),تحصيل,1335622.5,46193,,السبت,,,
6,مورد,شركة مكة,تحويل بنكي,,1,160000,,سداد,160000,46194,,الأحد,,,
7,مورد,شركة مكة,تحويل بنكي,,1,450000,,سداد,450000,46194,,الأحد,,,
8,مورد,شركة مكة,شراء,صويا معبأ,9.37,21400,معبأ(فاضل 2.48 طن ),تحصيل,200518,46194,,الأحد,,,
6,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46195,,الإثنين,,,
7,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46195,,الإثنين,,,
9,مورد,شركة مكة,تحويل بنكي,,1,290000,,سداد,290000,46196,,الثلاثاء,,,
14,مورد,شركة مكة,شراء,قشرة صويا,5.49,9000,صب(فاضل 19.51 طن),تحصيل,49410,46196,,الثلاثاء,,,
22,مورد,شركة مكة,شراء,صويا معبأ,2.48,21400,معبأ(فاضل 0.00 طن ),تحصيل,53072,46196,,الثلاثاء,,,
23,مورد,شركة مكة,شراء,صويا معبأ,6.27,20750,معبأ(فاضل 43.73 طن ),تحصيل,130102.5,46196,,الثلاثاء,,,
25,مورد,شركة مكة,شراء,صويا معبأ,8.06,20750,معبأ(فاضل 35.67 طن ),تحصيل,167245,46196,,الثلاثاء,,,
27,مورد,شركة مكة,تحويل بنكي,,1,210000,,سداد,210000,46196,,الثلاثاء,,,
10,مورد,شركة مكة,شراء,صويا صب,10.99,20500,صب(فاضل 24.68 طن ),تحصيل,225295,46197,,الأربعاء,,,
12,مورد,شركة مكة,شراء,صويا صب,10.58,20500,صب(فاضل 14.10 طن ),تحصيل,216890,46197,,الأربعاء,,,
18,مورد,شركة مكة,تحويل بنكي,,1,200000,,سداد,200000,46197,,الأربعاء,,,
19,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46197,,الأربعاء,,,
20,مورد,شركة مكة,شراء,صويا معبأ,2.58,20750,معبأ(فاضل 11.52 طن ),تحصيل,53535,46197,,الأربعاء,,,
5,مورد,شركة مكة,شراء,صويا صب,10.64,20500,صب(فاضل 0.88 طن ),تحصيل,218120,46198,,الخميس,,,
10,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46198,,الخميس,,,
11,مورد,شركة مكة,تحويل بنكي,,1,240000,,سداد,240000,46198,,الخميس,,,
2,مورد,شركة مكة,شراء,صويا صب,0.88,20500,صب(فاضل 0.00 طن ),تحصيل,18040,46200,,الأحد,,,
3,مورد,شركة مكة,شراء,صويا صب,63.65,20200,صب(فاضل 36.35 طن ),تحصيل,1285730,46200,,الأحد,,,
6,مورد,شركة مكة,شراء,صويا معبأ,6.88,20450,معبأ(فاضل 29.47 طن ),تحصيل,140696,46200,,الأحد,,,
10,مورد,شركة مكة,شراء,صويا صب,8.85,20200,صب(فاضل 20.62 طن ),تحصيل,178770,46200,,الأحد,,,
3,مورد,شركة مكة,تحويل بنكي,,1,270000,,سداد,270000,46201,,الأحد,,,
4,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46201,,الأحد,,,
8,مورد,شركة مكة,شراء,صويا معبأ,9.87,20450,معبأ(فاضل 10.75 طن ),تحصيل,201841.5,46201,,الأحد,,,
9,مورد,شركة مكة,تحويل بنكي,,1,500000,,سداد,500000,46202,,الإثنين,,,
8,مورد,شركة مكة,تحويل بنكي,,1,230000,,سداد,230000,46203,,الثلاثاء,,,
11,مورد,شركة مكة,تحويل بنكي,,1,250000,,سداد,250000,46203,,الثلاثاء,,,
8,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46204,,الأربعاء,,,
5,مورد,شركة مكة,تحويل بنكي,,1,150000,,سداد,150000,46205,,الخميس,,,
4,مورد,شركة مكة,شراء,قشرة صويا,6.07,9000,صب(فاضل 13.44 طن),تحصيل,54630,46207,,السبت,,,
6,مورد,شركة مكة,شراء,قشرة صويا,6.34,9000,صب(فاضل 7.1 طن),تحصيل,57060,46207,,السبت,,,
13,مورد,شركة مكة,شراء,صويا صب,10.51,20200,صب(فاضل 0.24 طن ),تحصيل,212302,46208,,الأحد,,,
25,مورد,شركة مكة,شراء,صويا صب,0.24,20200,صب(فاضل 0 طن ),تحصيل,4848,46208,,الأحد,,,
26,مورد,شركة مكة,شراء,صويا صب,10.42,19400,صب(فاضل 39.58 طن ),تحصيل,202148,46208,,الأحد,,,
30,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46208,,الأحد,,,
,مورد,شركة مكة,شراء,صويا معبأ,8.87,19650,معبأ(فاضل 30.71 طن ),تحصيل,174295.5,46208,,الأحد,,,
,مورد,شركة مكة,شراء,صويا صب,9.78,19400,صب(فاضل 20.93 طن ),تحصيل,189732,46209,,الإثنين,,,
,مورد,شركة مكة,تحويل بنكي,,1,150000,,سداد,150000,46209,,الإثنين,,,
,مورد,شركة مكة,تحويل بنكي,,1,150000,,سداد,150000,46209,,الإثنين,,,
,مورد,شركة مكة,تحويل بنكي,,1,350000,,سداد,350000,46209,,الإثنين,,,
5,مورد,شركة مكة,شراء,صويا صب,10.21,19400,صب(فاضل 10.72 طن ),تحصيل,198074,46210,,الثلاثاء,,,
7,مورد,شركة مكة,شراء,صويا صب,9.89,19400,صب(فاضل 0.83 طن ),تحصيل,191866,46210,,الثلاثاء,,,
15,مورد,شركة مكة,تحويل بنكي,,1,200000,,سداد,200000,46210,,الثلاثاء,,,
16,مورد,شركة مكة,تحويل بنكي,,1,200000,,سداد,200000,46210,,الثلاثاء,,,
18,مورد,شركة مكة,شراء,صويا معبأ,0.83,19650,معبأ(فاضل 0.00 طن ),تحصيل,16309.5,46210,,الثلاثاء,,,
19,مورد,شركة مكة,شراء,صويا معبأ,2.32,20000,معبأ(فاضل 197.68 طن ),تحصيل,46400,46210,,الثلاثاء,,,
21,مورد,شركة مكة,شراء,صويا معبأ,9.8,20000,معبأ(فاضل 187.88 طن ),تحصيل,196000,46210,,الثلاثاء,,,
23,مورد,شركة مكة,شراء,صويا معبأ,9.41,20000,معبأ(فاضل 178.47 طن ),تحصيل,188200,46210,,الثلاثاء,,,
5,مورد,شركة مكة,شراء,صويا معبأ,10.64,20000,معبأ(فاضل 167.83 طن ),تحصيل,212800,46211,,الأربعاء,,,
7,مورد,شركة مكة,شراء,صويا معبأ,7.97,20000,معبأ(فاضل 159.86 طن ),تحصيل,159400,46211,,الأربعاء,,,
9,مورد,شركة مكة,شراء,صويا صب,6.82,19750,صب(فاضل 153.04 طن ),تحصيل,134695,46211,,الأربعاء,,,
15,مورد,شركة مكة,تحويل بنكي,,1,250000,,سداد,250000,46211,,الأربعاء,,,
16,مورد,شركة مكة,تحويل بنكي,,1,250000,,سداد,250000,46211,,الأربعاء,,,
30,مورد,شركة مكة,تحويل بنكي,,1,50000,,سداد,50000,,,,,,
,مورد,شركة مكة,تحويل بنكي,,1,600000,,سداد,600000,,,,,,
7,مورد,شركة مكة,شراء,صويا معبأ,2.39,20000,معبأ(فاضل 150.65 طن ),تحصيل,47800,46214,,السبت,,,
9,مورد,شركة مكة,شراء,صويا معبأ,8.02,20000,معبأ(فاضل 142.63 طن ),تحصيل,160400,46214,,السبت,,,
11,مورد,شركة مكة,شراء,صويا معبأ,12.22,20000,معبأ(فاضل 130.41 طن ),تحصيل,244400,46214,,السبت,,,
13,مورد,شركة مكة,شراء,صويا معبأ,3.22,20000,معبأ(فاضل 127.19 طن ),تحصيل,64400,46214,,السبت,,,
10,مورد,شركة مكة,شراء,صويا صب,10.33,19750,صب(فاضل 116.86 طن ),تحصيل,204017.5,46215,,الأحد,,,
12,مورد,شركة مكة,شراء,صويا صب,10.43,19750,صب(فاضل 106.43 طن ),تحصيل,205992.5,46215,,الأحد,,,
23,مورد,شركة مكة,تحويل بنكي,,1,55000,,سداد,55000,46215,,الأحد,,,
25,مورد,شركة مكة,تحويل بنكي,,1,150000,,سداد,150000,46215,,الأحد,,,
26,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46215,,الأحد,,,
6,مورد,شركة مكة,شراء,صويا معبأ,9.59,20000,معبأ(فاضل 96.84 طن ),تحصيل,191800,46216,,الإثنين,,,
10,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46216,,الإثنين,,,
13,مورد,شركة مكة,تحويل بنكي,,1,100000,,سداد,100000,46216,,الإثنين,,,
6,مورد,شركة مكة,شراء,صويا معبأ,9.67,20000,معبأ(فاضل 87.17 طن ),تحصيل,193400,46217,,الثلاثاء,,,
13,مورد,شركة مكة,تحويل بنكي,,1,600000,,سداد,600000,46217,,الثلاثاء,,,
14,مورد,شركة مكة,شراء,صويا معبأ,3.01,20000,معبأ(فاضل 84.16 طن ),تحصيل,60200,46217,,الثلاثاء,,,
16,مورد,شركة مكة,شراء,صويا معبأ,2.58,20000,معبأ(فاضل 81.58 طن ),تحصيل,51600,46217,,الثلاثاء,,,
18,مورد,شركة مكة,شراء,صويا معبأ,10.45,20000,معبأ(فاضل 71.13 طن ),تحصيل,209000,46217,,الثلاثاء,,,
20,مورد,شركة مكة,شراء,صويا معبأ,9.8,20000,معبأ(فاضل 61.33 طن ),تحصيل,196000,46217,,الثلاثاء,,,
5,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46218,,الأربعاء,,,
6,مورد,شركة مكة,شراء,صويا معبأ,2.7,20000,معبأ(فاضل 58.63 طن ),تحصيل,54000,46218,,الأربعاء,,,
13,مورد,شركة مكة,تحويل بنكي,,1,300000,,سداد,300000,46218,,الأربعاء,,,
15,مورد,شركة مكة,شراء,قشرة صويا,6.89,9000,صب(فاضل 0.21 طن ),تحصيل,62010,46218,,الأربعاء,,,
6,مورد,شركة مكة,تحويل بنكي,,1,500000,,سداد,500000,46219,,الخميس,,,
13,مورد,شركة مكة,شراء,صويا معبأ,2.1,20000,معبأ(فاضل 56.53 طن ),تحصيل,42000,46219,,الخميس,,,
19,مورد,شركة مكة,شراء,صويا معبأ,9.85,20000,معبأ(فاضل 46.68 طن ),تحصيل,197000,46219,,الخميس,,,
10,مورد,شركة مكة,شراء,صويا معبأ,3.12,20000,معبأ(فاضل 43.56 طن ),تحصيل,62400,46221,,السبت,,,
6,مورد,شركة مكة,تحويل بنكي,,1,120000,4تحويلات,سداد,120000,46222,,الأحد,,,
8,مورد,شركة مكة,تحويل بنكي,,1,50000,,سداد,50000,46222,,الأحد,,,
9,مورد,شركة مكة,تحويل بنكي,,1,260000,,سداد,260000,46222,,الأحد,,,
10,مورد,شركة مكة,شراء,قشرة صويا,5.4,8000,,تحصيل,43200,46222,,الأحد,,,
10,مورد,شركة مكة,شراء,صويا معبأ,2.47,20000,معبأ(فاضل 41.09 طن ),تحصيل,49400,46223,,الإثنين,,,
12,مورد,شركة مكة,شراء,صويا معبأ,3.13,20000,معبأ(فاضل 37.96 طن ),تحصيل,62600,46223,,الإثنين,,,
14,مورد,شركة مكة,تحويل بنكي,,1,400000,,سداد,400000,46223,,الإثنين,,,
15,مورد,شركة مكة,شراء,صويا صب,10.09,19750,صب(فاضل 27.87 طن ),تحصيل,199277.5,46223,,الإثنين,,,
19,مورد,شركة مكة,شراء,صويا معبأ,9.03,20000,معبأ(فاضل 18.84 طن ),تحصيل,180600,46223,,الإثنين,,,
